ID	Hits	Length	Normalized	Product
mal_mito_2	1	1437	0.000695894224078	cytochromecoxidasesubunitI(cox1)
mal_rna_19	1	101	0.00990099009901	unspecifiedproduct(RNA8)
PF3D7_0100100	2	6492	0.000308071472582	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0100300	1	3984	0.000251004016064	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0101400	1	828	0.0012077294686	RESA-likeprotein,pseudogene
PF3D7_0101800	2	870	0.00229885057471	stevor
PF3D7_0102100	1	846	0.00118203309693	stevor,pseudogene
PF3D7_0102200	16	3258	0.0049109883364	ring-infectederythrocytesurfaceantigen(RESA)
PF3D7_0102500	3	4704	0.000637755102041	erythrocytebindingantigen-181(EBA181)
PF3D7_0102600	1	1893	0.000528262017961	serine/threonineproteinkinase,FIKKfamily(FIKK1)
PF3D7_0102700	1	831	0.00120336943442	merozoite-associatedtryptophan-richantigen,putative
PF3D7_0102900	1	1881	0.000531632110579	aspartate--tRNAligase
PF3D7_0103100	4	4905	0.000815494393476	conservedPlasmodiumprotein,unknownfunction
PF3D7_0103200	2	1305	0.00153256704981	nucleosidetransporter4(NT4)
PF3D7_0103500	2	5472	0.000365497076023	conservedPlasmodiumprotein,unknownfunction
PF3D7_0103600	3	4605	0.000651465798046	ATP-dependentRNAhelicase,putative
PF3D7_0104100	2	2376	0.000841750841751	conservedPlasmodiummembraneprotein,unknownfunction
PF3D7_0104300	2	10500	0.000190476190476	ubiquitincarboxyl-terminalhydrolase1,putative(UBP1)
PF3D7_0104600	1	4020	0.000248756218905	conservedPlasmodiumprotein,unknownfunction
PF3D7_0104700	3	2136	0.00140449438202	transporter,putative
PF3D7_0105200	3	1707	0.00175746924429	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105500	2	1035	0.00193236714976	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105600	1	3675	0.000272108843537	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105700	3	9192	0.00032637075718	asparagine-richantigenPfa35-2
PF3D7_0105800	1	2499	0.000400160064026	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106000	2	2769	0.000722282412423	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106200	2	648	0.00308641975309	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106300	4	3687	0.00108489286683	calcium-transportingATPase(ATP6)
PF3D7_0106500	1	4236	0.000236071765817	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106700	1	4305	0.000232288037166	smallribosomalsubunitassemblingAARP2protein(AARP2)
PF3D7_0106900	1	2205	0.000453514739229	2-C-methyl-D-erythritol4-phosphatecytidylyltransferase,putative(IspD)
PF3D7_0107100	1	1632	0.000612745098039	conservedPlasmodiumprotein,unknownfunction
PF3D7_0107300	1	1200	0.000833333333333	probableprotein,unknownfunction
PF3D7_0107500	2	4413	0.000453206435531	lipid/sterol:Hsymporter
PF3D7_0107700	1	1341	0.000745712155108	conservedPlasmodiummembraneprotein,unknownfunction
PF3D7_0108000	1	657	0.00152207001522	beta3proteasomesubunit,putative
PF3D7_0108100	1	1971	0.00050735667174	conservedPlasmodiumprotein,unknownfunction
PF3D7_0108300	4	6666	0.000600060006001	conservedPlasmodiumprotein,unknownfunction
PF3D7_0108500	1	540	0.00185185185185	conservedPlasmodiumprotein,unknownfunction
PF3D7_0108700	2	3459	0.000578201792426	secretedookineteprotein,putative(PSOP24)
PF3D7_0109200	2	699	0.00286123032904	mRNAcleavagefactor-likeprotein,putative
PF3D7_0109300	1	969	0.00103199174407	fattyacidelongationprotein,GNS1/SUR4family,putative
PF3D7_0110000	1	705	0.00141843971631	conservedPlasmodiumprotein,unknownfunction
PF3D7_0110100	1	2805	0.000356506238859	selenocysteine-specificelongationfactorselBhomologue,putative
PF3D7_0110200	1	432	0.00231481481481	FAD-linkedsulfhydryloxidaseERV1,putative(ERV1)
PF3D7_0110400	1	750	0.00133333333333	DNA-directedRNApolymerase2,putative
PF3D7_0110500	2	6858	0.00029163021289	bromodomainprotein,putative
PF3D7_0110600	3	5133	0.000584453535944	phosphatidylinositol-4-phosphate5-kinase(PIP5K)
PF3D7_0110700	1	1341	0.000745712155108	chromatinassemblyfactor1proteinWD40domain,putative
PF3D7_0110800	1	1104	0.000905797101449	transcriptioninitiationfactorTFIIB,putative
PF3D7_0111000	3	4995	0.000600600600601	kinesin-8,putative
PF3D7_0112200	1	5469	0.000182848784056	multidrugresistance-associatedprotein1(MRP1)
PF3D7_0112300	1	2149	0.00046533271289	18SribosomalRNA
PF3D7_0112700	1	4104	0.000243664717349	28SribosomalRNA
PF3D7_0113000	3	2022	0.00148367952522	glutamicacid-richprotein(GARP)
PF3D7_0113100	1	4668	0.000214224507284	surface-associatedinterspersedprotein1.1(SURFIN1.1)(SURF1.1)
PF3D7_0113400	1	1296	0.000771604938272	Plasmodiumexportedprotein,unknownfunction
PF3D7_0113600	3	5682	0.000527983104541	surface-associatedinterspersedprotein1.2(SURFIN1.2),pseudogene(SURF1.2)
PF3D7_0113800	4	8703	0.000459611628174	DBLcontainingprotein,unknownfunction
PF3D7_0114000	1	4392	0.000227686703097	RESA-likeproteinwithDnaJdomain,putative(GEXP06)
PF3D7_0114400	1	1380	0.000724637681159	erythrocytemembraneprotein1(PfEMP1),exon2,pseudogene(VAR)
PF3D7_0115000	1	5778	0.000173070266528	surface-associatedinterspersedprotein1.3(SURFIN1.3)(SURF1.3)
PF3D7_0115700	1	6612	0.000151240169389	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0200200	2	1005	0.00199004975124	rifin(RIF)
PF3D7_0200400	1	915	0.00109289617486	stevor
PF3D7_0200700	1	993	0.00100704934542	rifin(RIF)
PF3D7_0201200	1	1071	0.00093370681606	rifin(RIF)
PF3D7_0201300	1	918	0.00108932461874	stevor
PF3D7_0201500	2	765	0.00261437908497	Plasmodiumexportedprotein(hyp9),unknownfunction
PF3D7_0201600	2	1458	0.00137174211248	Plasmodiumexportedprotein(PHISTb),unknownfunction
PF3D7_0201700	1	2703	0.000369959304477	DnaJprotein,putative
PF3D7_0201900	6	7326	0.000819000819001	erythrocytemembraneprotein3(EMP3)
PF3D7_0202000	1	1965	0.000508905852417	knob-associatedhistidine-richprotein(KAHRP)
PF3D7_0202300	1	804	0.00124378109453	Plasmodiumexportedprotein(hyp11),unknownfunction
PF3D7_0202600.1	4	4026	0.000993541977149	conservedPlasmodiumprotein,unknownfunction
PF3D7_0202600.2	4	4023	0.000994282873478	conservedPlasmodiumprotein,unknownfunction
PF3D7_0202700	1	1617	0.000618429189858	octaprenylpyrophosphatesynthase(OPP)
PF3D7_0202900	1	864	0.00115740740741	zincfingerprotein,putative
PF3D7_0203000	3	5940	0.000505050505051	conservedPlasmodiumprotein,unknownfunction
PF3D7_0203100	3	7458	0.000402252614642	proteinkinase,putative
PF3D7_0203200	1	1524	0.000656167979003	conservedPlasmodiumprotein,unknownfunction
PF3D7_0203600	1	1908	0.000524109014675	conservedPlasmodiumprotein,unknownfunction
PF3D7_0203900	1	1734	0.000576701268743	5'-3'exonuclease,N-terminalresolvase-likedomain,putative
PF3D7_0204000	2	2394	0.000835421888053	conservedPlasmodiumprotein,unknownfunction
PF3D7_0204100	2	6888	0.000290360046458	conservedPlasmodiumprotein,unknownfunction
PF3D7_0204200	1	831	0.00120336943442	conservedPlasmodiumprotein,unknownfunction
PF3D7_0204300	3	2091	0.00143472022956	conservedPlasmodiumprotein,unknownfunction
PF3D7_0204500	2	1218	0.00164203612479	aspartateaminotransferase,aspartatetransaminase(AspAT)
PF3D7_0204600	2	3567	0.000560695262125	conservedPlasmodiumprotein,unknownfunction
PF3D7_0205300	1	1851	0.000540248514317	conservedPlasmodiumprotein,unknownfunction
PF3D7_0205700.1	1	618	0.00161812297735	conservedPlasmodiumprotein,unknownfunction
PF3D7_0205700.2	1	669	0.00149476831091	conservedPlasmodiumprotein,unknownfunction
PF3D7_0205900	3	2901	0.00103412616339	proteasome26Sregulatorysubunit,putative
PF3D7_0206000	1	4551	0.000219731927049	DNArepairendonuclease,putative
PF3D7_0206100	1	750	0.00133333333333	iron-sulfurassemblyprotein,putative(SufE)
PF3D7_0206300	3	9201	0.00032605151614	conservedPlasmodiumprotein,unknownfunction,pseudogene
PF3D7_0206700	2	1416	0.00141242937853	adenylosuccinatelyase(ASL)
PF3D7_0207100	1	5238	0.000190912562047	conservedPlasmodiumprotein,unknownfunction
PF3D7_0207400	2	2841	0.000703977472721	serinerepeatantigen7(SERA7)
PF3D7_0207600	3	2994	0.00100200400802	serinerepeatantigen5(SERA5)
PF3D7_0207700	1	2889	0.000346140533056	serinerepeatantigen4(SERA4)
PF3D7_0207800	2	2793	0.000716075904046	serinerepeatantigen3(SERA3)
PF3D7_0207900	4	3318	0.00120554550934	serinerepeatantigen2(SERA2)
PF3D7_0208000	2	2985	0.000670016750419	serinerepeatantigen1(SERA1)
PF3D7_0208100.1	2	5370	0.000372439478585	conservedPlasmodiumprotein,unknownfunction
PF3D7_0208100.2	2	5370	0.000372439478585	conservedPlasmodiumprotein,unknownfunction
PF3D7_0208400	1	6033	0.000165755014089	conservedPlasmodiumprotein,unknownfunction
PF3D7_0208800	2	708	0.00282485875706	conservedPlasmodiumprotein,unknownfunction
PF3D7_0208900	4	7527	0.000531420220539	6-cysteineprotein(P230p)
PF3D7_0209000	1	9408	0.000106292517007	6-cysteineprotein(P230)
PF3D7_0209200	1	828	0.0012077294686	3'exoribonuclease,putative
PF3D7_0209400	3	1353	0.00221729490022	conservedprotein,unknownfunction
PF3D7_0209500	1	1515	0.000660066006601	conservedPlasmodiumprotein,unknownfunction
PF3D7_0209600	1	3399	0.000294204177699	transporter,putative
PF3D7_0209700	1	1707	0.000585823081429	RINGzincfingerprotein,putative
PF3D7_0209800	1	1374	0.000727802037846	ATP-dependentRNAhelicaseUAP56(UAP56)
PF3D7_0210200	2	7767	0.000257499678125	conservedPlasmodiumprotein,unknownfunction
PF3D7_0211100	2	3366	0.000594177064765	conservedPlasmodiumprotein,unknownfunction
PF3D7_0211200	1	708	0.00141242937853	RabGTPase5a(RAB5a)
PF3D7_0211400	1	1116	0.00089605734767	beta-ketoacyl-ACPsynthaseIII(KASIII)
PF3D7_0211500	1	3738	0.000267522739433	GAFdomain-relatedprotein,putative
PF3D7_0211800	2	1833	0.00109110747409	asparagine--tRNAligase,putative
PF3D7_0212100	2	5535	0.000361336946703	conservedPlasmodiumprotein,unknownfunction
PF3D7_0212300	1	1284	0.000778816199377	peptidechainreleasefactorsubunit1,putative
PF3D7_0212400	5	12276	0.000407298794396	conservedPlasmodiummembraneprotein,unknownfunction
PF3D7_0212500	7	11973	0.000584648793118	conservedPlasmodiumprotein,unknownfunction
PF3D7_0212800	2	3675	0.000544217687075	multidrugeffluxpump,putative
PF3D7_0212900	1	1098	0.000910746812386	Leu/Phe-tRNAproteintransferase,putative
PF3D7_0213600	1	7257	0.000137797988149	conservedPlasmodiumprotein,unknownfunction
PF3D7_0213800	1	2010	0.000497512437811	conservedPlasmodiumprotein,unknownfunction
PF3D7_0214100	2	4416	0.000452898550725	proteintransportproteinsec31(SEC31)
PF3D7_0214300	2	7503	0.00026656004265	conservedPlasmodiumprotein,unknownfunction
PF3D7_0214400	1	1860	0.000537634408602	conservedPlasmodiumprotein,unknownfunction
PF3D7_0214500	2	921	0.00217155266015	conservedPlasmodiumprotein,unknownfunction
PF3D7_0214700	1	906	0.00110375275938	conservedPlasmodiumprotein,unknownfunction
PF3D7_0214800	1	4116	0.000242954324587	conservedPlasmodiummembraneprotein,unknownfunction
PF3D7_0214900	2	2853	0.000701016473887	rhoptryneckprotein6(RON6)
PF3D7_0215000	4	2658	0.00150489089541	acyl-CoAsynthetase(ACS9)
PF3D7_0215400	3	2919	0.00102774922919	conservedPlasmodiumprotein,unknownfunction
PF3D7_0215600	2	1212	0.0016501650165	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216000	2	5994	0.000333667000334	DEAD/DEAHboxhelicase,putative
PF3D7_0216200	1	684	0.00146198830409	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216300	2	4146	0.000482392667631	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216500	2	4932	0.000405515004055	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216700.1	5	4152	0.001204238921	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216700.2	5	4134	0.00120948234156	conservedPlasmodiumprotein,unknownfunction
PF3D7_0216800	1	3369	0.000296823983378	conservedPlasmodiummembraneprotein,unknownfunction
PF3D7_0217100	2	1656	0.0012077294686	ATPsynthaseF1,alphasubunit
PF3D7_0217300	1	426	0.00234741784038	clathrincoatassemblyprotein,putative
PF3D7_0217600	2	5133	0.000389635690629	conservedPlasmodiumprotein,unknownfunction
PF3D7_0217800	1	324	0.00308641975309	40SribosomalproteinS26e,putative
PF3D7_0217900	1	1560	0.000641025641026	conservedPlasmodiumprotein,unknownfunction
PF3D7_0218200	1	2424	0.000412541254125	conservedPlasmodiumprotein,unknownfunction
PF3D7_0218400	1	1689	0.000592066311427	DEAD/DEAHboxATP-dependentRNAhelicase,putative
PF3D7_0218600	2	7143	0.000279994400112	conservedPlasmodiumprotein,unknownfunction
PF3D7_0219600	1	2715	0.00036832412523	replicationfactorCsubunit1,putative
PF3D7_0219700	2	888	0.00225225225225	Plasmodiumexportedprotein(PHISTc),unknownfunction(GEXP20)
PF3D7_0220000	22	4677	0.00470387000214	liverstageantigen3(LSA3)
PF3D7_0220100	2	2994	0.000668002672011	DnaJprotein,putative
PF3D7_0220400	1	2010	0.000497512437811	DnaJprotein,putative,pseudogene
PF3D7_0220600	1	678	0.00147492625369	Plasmodiumexportedprotein(hyp9),unknownfunction
PF3D7_0220700	1	759	0.00131752305665	Plasmodiumexportedprotein(hyp9),unknownfunction
